Id,SalePrice
1461,205150.0
1462,175100.0
1463,220150.0
1464,149700.0
1465,268030.0
1466,144050.0
1467,307050.0
1468,200700.0
1469,129910.0
1470,118875.0
1471,131600.0
1472,368634.8
1473,142750.0
1474,262780.0
1475,152875.0
1476,139250.0
1477,143050.0
1478,93710.0
1479,154175.0
1480,140100.0
1481,313185.0
1482,144838.5
1483,233833.7
1484,133430.0
1485,145000.0
1486,251845.6
1487,129300.0
1488,315150.0
1489,187620.0
1490,66580.0
1491,56850.0
1492,151414.0
1493,191529.3
1494,158090.0
1495,277240.0
1496,318179.9
1497,137040.0
1498,148300.0
1499,116122.5
1500,87740.0
1501,160100.0
1502,162490.0
1503,142890.0
1504,131325.0
1505,138100.0
1506,319900.0
1507,259142.6
1508,246250.0
1509,110640.0
1510,128750.0
1511,178050.0
1512,117215.0
1513,102948.6
1514,382800.0
1515,127260.0
1516,180590.0
1517,189010.0
1518,197300.0
1519,425996.0
1520,124780.0
1521,159350.0
1522,96450.4
1523,205350.0
1524,138990.0
1525,217100.0
1526,315764.3
1527,225050.0
1528,221850.0
1529,85670.0
1530,235950.0
1531,260050.0
1532,124138.3
1533,186700.0
1534,144900.0
1535,115230.0
1536,90150.0
1537,128425.8
1538,125300.0
1539,137250.0
1540,108400.0
1541,198840.0
1542,159900.0
1543,243500.0
1544,127350.0
1545,174230.0
1546,272480.0
1547,178440.0
1548,155519.9
1549,97240.0
1550,125770.0
1551,107480.0
1552,134300.9
1553,147075.0
1554,147880.0
1555,203625.0
1556,180260.0
1557,222780.0
1558,106725.0
1559,85000.0
1560,129555.0
1561,203950.0
1562,180675.0
1563,118828.3
1564,209236.0
1565,169890.0
1566,247850.0
1567,99650.0
1568,113850.0
1569,119483.4
1570,194140.0
1571,144580.0
1572,179340.0
1573,353399.2
1574,216750.0
1575,214380.0
1576,173000.0
1577,140345.0
1578,152350.0
1579,301250.0
1580,166983.0
1581,161940.0
1582,100500.0
1583,143200.0
1584,161093.7
1585,174840.0
1586,87250.0
1587,133150.0
1588,88800.0
1589,155390.0
1590,156500.0
1591,222700.0
1592,240000.0
1593,149600.0
1594,228732.2
1595,179545.0
1596,187115.0
1597,150940.0
1598,184579.9
1599,246982.7
1600,217800.0
1601,113710.0
1602,263587.2
1603,149050.0
1604,205990.0
1605,134940.0
1606,132500.0
1607,103850.0
1608,223600.0
1609,138490.0
1610,108590.0
1611,130075.0
1612,356431.2
1613,185130.0
1614,197000.0
1615,130300.0
1616,89825.0
1617,111100.0
1618,271993.5
1619,243990.0
1620,301979.9
1621,166630.0
1622,390256.0
1623,220600.0
1624,107915.0
1625,144000.0
1626,119550.0
1627,178364.0
1628,321099.2
1629,187000.0
1630,254690.0
1631,127190.0
1632,204350.0
1633,222450.0
1634,158450.0
1635,188600.0
1636,228080.0
1637,217265.0
1638,166564.0
1639,478469.6
1640,104000.0
1641,174850.0
1642,184180.0
1643,121750.0
1644,226580.0
1645,116240.0
1646,456751.3
1647,176900.0
1648,127350.0
1649,158552.2
1650,280250.0
1651,320487.0
1652,174770.0
1653,191290.0
1654,133000.0
1655,127400.0
1656,147450.0
1657,291760.4
1658,301387.0
1659,111000.0
1660,304390.0
1661,141700.0
1662,168350.0
1663,113150.0
1664,149700.0
1665,105400.0
1666,183250.0
1667,150510.0
1668,141000.0
1669,263200.0
1670,142495.0
1671,97300.0
1672,180170.0
1673,235738.7
1674,151800.0
1675,151800.0
1676,138560.0
1677,201700.0
1678,104540.0
